date,pred,act
2022-03-10,0,0
2022-03-11,1,1
2022-03-14,1,1
2022-03-15,0,1
2022-03-16,0,1
2022-03-17,0,1
2022-03-18,0,0
2022-03-21,1,0
2022-03-22,0,1
2022-03-23,0,1
2022-03-24,1,1
2022-03-25,1,0
2022-03-28,1,1
2022-03-29,0,0
2022-03-30,0,0
2022-03-31,1,1
2022-04-01,0,0
2022-04-04,1,1
2022-04-05,0,0
2022-04-06,1,1
2022-04-07,0,0
2022-04-08,0,0
2022-04-11,1,1
2022-04-12,0,0
2022-04-13,1,1
2022-04-14,0,1
2022-04-15,0,0
2022-04-18,0,1
2022-04-19,0,1
2022-04-20,1,1
2022-04-21,1,1
2022-04-22,0,1
2022-04-25,1,0
2022-04-26,0,0
2022-04-27,0,0
2022-04-28,1,1
2022-04-29,0,0
2022-05-02,0,0
2022-05-03,0,1
2022-05-04,1,1
2022-05-06,0,0
2022-05-09,1,0
2022-05-10,0,0
2022-05-11,1,0
2022-05-12,0,1
2022-05-13,0,1
2022-05-16,1,1
